PCA,iGroups,jGroup,P-value,BH adjusted p-value
PC3,CNP,SNP,6.20517159878803E-05,0.0130308603574549
PC1,LR,SNP,0.000264711866430836,0.0277947459752378
PC1,CNP,SNP,0.000557579463858265,0.0390305624700786
PC1,CRP,SNP,0.000968651213346072,0.040683350960535
PC3,CRP,CNP,0.000854312615018324,0.040683350960535
PC3,CNP,SP,0.00230873441900259,0.0808057046650905
PC1,CRP,SP,0.00391945359338852,0.111019377334174
PC1,LR,SP,0.00422930961273043,0.111019377334174
PC1,CNP,SP,0.00696948180571838,0.162621242133429
PC2,CNP,SNP,0.015106415228282,0.31530477470496
PC6,CRP,LR,0.0165159643893074,0.31530477470496
PC3,SP,SNP,0.0197408228057158,0.345464399100026
PC2,SP,SNP,0.0291582063190275,0.471017178999674
PC2,LR,SNP,0.035354862013113,0.487419634600225
PC3,CRP,SNP,0.0352255080303062,0.487419634600225
PC4,CNP,SNP,0.0405662871897634,0.487419634600225
PC8,CNP,SP,0.0417788258228764,0.487419634600225
PC15,CRP,SNP,0.0387983231381711,0.487419634600225
PC4,SP,SNP,0.0519103583555952,0.567825627466844
PC6,CRP,CNP,0.0540786311873185,0.567825627466844
PC1,CNP,LR,0.0695064996944322,0.594615796697251
PC2,CRP,SP,0.0707875948449108,0.594615796697251
PC2,LR,SP,0.0679008086168134,0.594615796697251
PC7,CRP,LR,0.0658884650162334,0.594615796697251
PC15,SP,SNP,0.0619395989359605,0.594615796697251
PC2,CNP,LR,0.0803422479895125,0.624884151029542
PC4,CNP,SP,0.0783882514285003,0.624884151029542
PC7,CNP,LR,0.0910785949923954,0.683089462442965
PC3,CRP,SP,0.0955374408438794,0.687048012673406
PC6,CRP,SP,0.0981497160962009,0.687048012673406
PC3,CNP,LR,0.126996461304272,0.797086987684458
PC5,CNP,SNP,0.119604333147807,0.797086987684458
PC6,LR,SP,0.125472991962773,0.797086987684458
PC15,CNP,SNP,0.129052178958436,0.797086987684458
PC6,CNP,LR,0.161282144302393,0.967692865814356
PC1,CRP,CRP,1,1
PC1,CRP,CNP,0.618336939002649,1
PC1,CRP,LR,0.231628909582816,1
PC1,CNP,CNP,1,1
PC1,LR,LR,1,1
PC1,SP,SP,1,1
PC1,SP,SNP,0.957718578184839,1
PC2,CRP,CRP,1,1
PC2,CRP,CNP,0.192249409195956,1
PC2,CRP,LR,0.878730864603932,1
PC2,CRP,SNP,0.310867632417739,1
PC2,CNP,CNP,1,1
PC2,CNP,SP,0.269217896150615,1
PC2,LR,LR,1,1
PC2,SP,SP,1,1
PC3,CRP,CRP,1,1
PC3,CRP,LR,0.476749443974799,1
PC3,CNP,CNP,1,1
PC3,LR,LR,1,1
PC3,LR,SP,0.675278319457179,1
PC3,LR,SNP,0.331996301794993,1
PC3,SP,SP,1,1
PC4,CRP,CRP,1,1
PC4,CRP,CNP,0.359738964455508,1
PC4,CRP,LR,0.992132093521653,1
PC4,CRP,SP,0.727715407787258,1
PC4,CRP,SNP,0.255984364629381,1
PC4,CNP,CNP,1,1
PC4,CNP,LR,0.418291434744833,1
PC4,LR,LR,1,1
PC4,LR,SP,0.748624154495645,1
PC4,LR,SNP,0.30814004465896,1
PC4,SP,SP,1,1
PC5,CRP,CRP,1,1
PC5,CRP,CNP,0.497777049246147,1
PC5,CRP,LR,0.443075532651255,1
PC5,CRP,SP,0.985346199960237,1
PC5,CRP,SNP,0.226264729986513,1
PC5,CNP,CNP,1,1
PC5,CNP,LR,0.255204065433854,1
PC5,CNP,SP,0.642291065363644,1
PC5,LR,LR,1,1
PC5,LR,SP,0.550888734983566,1
PC5,LR,SNP,0.805462785538118,1
PC5,SP,SP,1,1
PC5,SP,SNP,0.391587402755356,1
PC6,CRP,CRP,1,1
PC6,CRP,SNP,0.216803804393681,1
PC6,CNP,CNP,1,1
PC6,CNP,SP,0.667824343278935,1
PC6,CNP,SNP,0.77576013685264,1
PC6,LR,LR,1,1
PC6,LR,SNP,0.263268771766781,1
PC6,SP,SP,1,1
PC6,SP,SNP,0.989085728646717,1
PC7,CRP,CRP,1,1
PC7,CRP,CNP,0.492457889898406,1
PC7,CRP,SP,0.771157945591235,1
PC7,CRP,SNP,0.777484681978225,1
PC7,CNP,CNP,1,1
PC7,CNP,SP,0.807469381963913,1
PC7,CNP,SNP,0.823737550724547,1
PC7,LR,LR,1,1
PC7,LR,SP,0.801082692435164,1
PC7,LR,SNP,0.691254766019119,1
PC7,SP,SP,1,1
PC7,SP,SNP,0.954554246789863,1
PC8,CRP,CRP,1,1
PC8,CRP,CNP,0.230644753319114,1
PC8,CRP,LR,0.275969148334036,1
PC8,CRP,SP,0.41655283351749,1
PC8,CRP,SNP,0.365659797307824,1
PC8,CNP,CNP,1,1
PC8,CNP,LR,0.755565711544749,1
PC8,CNP,SNP,0.366503326081396,1
PC8,LR,LR,1,1
PC8,LR,SP,0.471095848237939,1
PC8,LR,SNP,0.671728990287342,1
PC8,SP,SP,1,1
PC8,SP,SNP,0.758702677996363,1
PC9,CRP,CRP,1,1
PC9,CRP,CNP,0.444472304782797,1
PC9,CRP,LR,0.665146201398413,1
PC9,CRP,SP,0.805357596088511,1
PC9,CRP,SNP,0.805965528854026,1
PC9,CNP,CNP,1,1
PC9,CNP,LR,0.866862380974532,1
PC9,CNP,SP,0.840644129339083,1
PC9,CNP,SNP,0.891059677472246,1
PC9,LR,LR,1,1
PC9,LR,SP,0.938624183042853,1
PC9,LR,SNP,0.971170057123966,1
PC9,SP,SP,1,1
PC9,SP,SNP,0.977652894909199,1
PC10,CRP,CRP,1,1
PC10,CRP,CNP,0.993766098781117,1
PC10,CRP,LR,0.959557153896079,1
PC10,CRP,SP,0.959954645502549,1
PC10,CRP,SNP,0.991618214249317,1
PC10,CNP,CNP,1,1
PC10,CNP,LR,0.89331681318521,1
PC10,CNP,SP,0.89726108243229,1
PC10,CNP,SNP,0.996029760656804,1
PC10,LR,LR,1,1
PC10,LR,SP,0.999293299893339,1
PC10,LR,SNP,0.886807000035381,1
PC10,SP,SP,1,1
PC10,SP,SNP,0.891077922712871,1
PC11,CRP,CRP,1,1
PC11,CRP,CNP,0.864107566104671,1
PC11,CRP,LR,0.729668665974174,1
PC11,CRP,SP,0.83776063289242,1
PC11,CRP,SNP,0.922328191207419,1
PC11,CNP,CNP,1,1
PC11,CNP,LR,0.932132371992323,1
PC11,CNP,SP,0.962604325347314,1
PC11,CNP,SNP,0.935029103021048,1
PC11,LR,LR,1,1
PC11,LR,SP,0.980041223368467,1
PC11,LR,SNP,0.845558433707221,1
PC11,SP,SP,1,1
PC11,SP,SNP,0.901050501043331,1
PC12,CRP,CRP,1,1
PC12,CRP,CNP,0.911003103427184,1
PC12,CRP,LR,0.835908505822546,1
PC12,CRP,SP,0.870980621142365,1
PC12,CRP,SNP,0.966340723972126,1
PC12,CNP,CNP,1,1
PC12,CNP,LR,0.908069191726656,1
PC12,CNP,SP,0.943045971686432,1
PC12,CNP,SNP,0.982221715622865,1
PC12,LR,LR,1,1
