PCA,iGroups,jGroup,P-value,BH adjusted p-value
PC12,LR,SP,0.971750815805637,1
PC12,LR,SNP,0.927504513839276,1
PC12,SP,SP,1,1
PC12,SP,SNP,0.947736038384578,1
PC13,CRP,CRP,1,1
PC13,CRP,CNP,0.923338745299927,1
PC13,CRP,LR,0.831603040773835,1
PC13,CRP,SP,0.875495584668093,1
PC13,CRP,SNP,0.763418303833295,1
PC13,CNP,CNP,1,1
PC13,CNP,LR,0.967994253441853,1
PC13,CNP,SP,0.959232687561461,1
PC13,CNP,SNP,0.98357483181639,1
PC13,LR,LR,1,1
PC13,LR,SP,0.887505994249925,1
PC13,LR,SNP,0.922216373211046,1
PC13,SP,SP,1,1
PC13,SP,SNP,0.924152070000436,1
PC14,CRP,CRP,1,1
PC14,CRP,CNP,0.880964963085158,1
PC14,CRP,LR,0.848470823882334,1
PC14,CRP,SP,0.863007239928348,1
PC14,CRP,SNP,0.848824597186364,1
PC14,CNP,CNP,1,1
PC14,CNP,LR,0.97120393312911,1
PC14,CNP,SP,0.933956538724907,1
PC14,CNP,SNP,0.940827157500702,1
PC14,LR,LR,1,1
PC14,LR,SP,0.930230216191356,1
PC14,LR,SNP,0.944030211537817,1
PC14,SP,SP,1,1
PC14,SP,SNP,0.941952860765047,1
PC15,CRP,CRP,1,1
PC15,CRP,CNP,0.411797873942516,1
PC15,CRP,LR,0.672685723696287,1
PC15,CRP,SP,0.636472296148678,1
PC15,CNP,CNP,1,1
PC15,CNP,LR,0.893026315050425,1
PC15,CNP,SP,0.2874494242614,1
PC15,LR,LR,1,1
PC15,LR,SP,0.550953013787351,1
PC15,LR,SNP,0.670614969127972,1
PC15,SP,SP,1,1
