PCA,iGroups,jGroup,P-value,BH adjusted p-value
PC9,SP,SNP,0.979417527750307,1
PC10,CRP,CRP,1,1
PC10,CRP,CNP,0.864971887519274,1
PC10,CRP,LR,0.725670774382597,1
PC10,CRP,SP,0.839815905388684,1
PC10,CRP,SNP,0.780146740460385,1
PC10,CNP,CNP,1,1
PC10,CNP,LR,0.813654857325999,1
PC10,CNP,SP,0.983045988602041,1
PC10,CNP,SNP,0.900604587113917,1
PC10,LR,LR,1,1
PC10,LR,SP,0.813672953185712,1
PC10,LR,SNP,0.878600697233591,1
PC10,SP,SP,1,1
PC10,SP,SNP,0.901288618832557,1
PC11,CRP,CRP,1,1
PC11,CRP,CNP,0.718027982062144,1
PC11,CRP,LR,0.583638266101954,1
PC11,CRP,SP,0.740661595366828,1
PC11,CRP,SNP,0.940843950402677,1
PC11,CNP,CNP,1,1
PC11,CNP,LR,0.977236457559174,1
PC11,CNP,SP,0.826489821932885,1
PC11,CNP,SNP,0.808227468200833,1
PC11,LR,LR,1,1
PC11,LR,SP,0.686119935160557,1
PC11,LR,SNP,0.78065246236307,1
PC11,SP,SP,1,1
PC11,SP,SNP,0.919316596620293,1
PC12,CRP,CRP,1,1
PC12,CRP,CNP,0.925458159484487,1
PC12,CRP,LR,0.943674010244275,1
PC12,CRP,SP,0.946669807837429,1
PC12,CRP,SNP,0.963466020365455,1
PC12,CNP,CNP,1,1
PC12,CNP,LR,0.971133909211436,1
PC12,CNP,SP,0.956536829388803,1
PC12,CNP,SNP,0.880021756684155,1
PC12,LR,LR,1,1
PC12,LR,SP,0.985057138254111,1
PC12,LR,SNP,0.882173640070186,1
PC12,SP,SP,1,1
PC12,SP,SNP,0.841285558812288,1
PC13,CRP,CRP,1,1
PC13,CRP,CNP,0.509667064453551,1
PC13,CRP,LR,0.507975224555465,1
PC13,CRP,SP,0.751982253360163,1
PC13,CRP,SNP,0.5892530751828,1
PC13,CNP,CNP,1,1
PC13,CNP,LR,0.957617926708009,1
PC13,CNP,SP,0.834591785721705,1
PC13,CNP,SNP,0.759772342270144,1
PC13,LR,LR,1,1
PC13,LR,SP,0.811108018783503,1
PC13,LR,SNP,0.747480461476392,1
PC13,SP,SP,1,1
PC13,SP,SNP,0.961657105988762,1
PC14,CRP,CRP,1,1
PC14,CRP,CNP,0.931473275710131,1
PC14,CRP,LR,0.962423037882215,1
PC14,CRP,SP,0.947181711099383,1
PC14,CRP,SNP,0.98962102903207,1
PC14,CNP,CNP,1,1
PC14,CNP,LR,0.993121960009006,1
PC14,CNP,SP,0.975673654174883,1
PC14,CNP,SNP,0.859310782907809,1
PC14,LR,LR,1,1
PC14,LR,SP,0.998030998290478,1
PC14,LR,SNP,0.96463265814279,1
PC14,SP,SP,1,1
PC14,SP,SNP,0.9237709269773,1
PC15,CRP,CRP,1,1
PC15,CRP,SP,0.36378066069911,1
PC15,CRP,SNP,0.561560722674681,1
PC15,CNP,CNP,1,1
PC15,CNP,SP,0.213823698374267,1
PC15,CNP,SNP,0.324819758083753,1
PC15,LR,LR,1,1
PC15,SP,SP,1,1
PC15,SP,SNP,0.770613006608969,1
